speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
0,asikoe2,Asian Koel,Eudynamys scolopaceus,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,5.0,25.030915,75.0739375,True,False,True,S129066489,
1,commyn,Common Myna,Acridotheres tristis,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,6.0,25.030915,75.0739375,True,False,True,S129066489,
2,compea,Indian Peafowl,Pavo cristatus,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,2.0,25.030915,75.0739375,True,False,True,S129066489,
3,houspa,House Sparrow,Passer domesticus,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,19.0,25.030915,75.0739375,True,False,True,S129066489,
4,houcro1,House Crow,Corvus splendens,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,22.0,25.030915,75.0739375,True,False,True,S129066489,
5,rorpar,Rose-ringed Parakeet,Psittacula krameri,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,11.0,25.030915,75.0739375,True,False,True,S129066489,
6,greegr,Great Egret,Ardea alba,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,5.0,25.030915,75.0739375,True,False,True,S129066489,
7,rocpig,Rock Pigeon,Columba livia,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,15.0,25.030915,75.0739375,True,False,True,S129066489,N
8,cohcuc1,Common Hawk-Cuckoo,Hierococcyx varius,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,2.0,25.030915,75.0739375,True,False,True,S129066489,
9,gryfra,Gray Francolin,Ortygornis pondicerianus,L22576253,"Thukrai, Rajasthan, IN (25.031, 75.074)",2023-02-20 22:04,3.0,25.030915,75.0739375,True,False,True,S129066489,
10,combab3,Common Babbler,Argya caudata,L22681771,"Negarion Ka Khera, Rajasthan, IN (25.174, 74.091)",2023-02-20 10:35,2.0,25.1743249,74.0914426,True,False,True,S129067299,
11,bladro1,Black Drongo,Dicrurus macrocercus,L22681771,"Negarion Ka Khera, Rajasthan, IN (25.174, 74.091)",2023-02-20 10:35,7.0,25.1743249,74.0914426,True,False,True,S129067299,
12,indrob1,Indian Robin,Copsychus fulicatus,L22681771,"Negarion Ka Khera, Rajasthan, IN (25.174, 74.091)",2023-02-20 10:35,25.0,25.1743249,74.0914426,True,False,True,S129067299,
13,integr,Intermediate Egret,Ardea intermedia,L22717691,"Thirukkattupalli, Tamil Nadu, IN (10.849, 78.946)",2023-02-20 10:30,1.0,10.8493978,78.9462619,True,False,True,S129067637,
14,litegr,Little Egret,Egretta garzetta,L22717691,"Thirukkattupalli, Tamil Nadu, IN (10.849, 78.946)",2023-02-20 10:30,2.0,10.8493978,78.9462619,True,False,True,S129067637,
15,isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha,L22717691,"Thirukkattupalli, Tamil Nadu, IN (10.849, 78.946)",2023-02-20 10:30,11.0,10.8493978,78.9462619,True,False,True,S129067637,
